kategoria,kierunek,opis kierunku,rekrutacja,specjalności,program studiów
Studia I stopnia niestacjonarne,Rachunkowosc I Finanse Biznesu,"Rachunkowość i finanse biznesu
Pasjonuje Cię świat dużych liczb? Dzięki nam poznasz od praktycznej strony rachunkowość i finanse przedsiębiorstw, nauczysz się księgować operacje gospodarcze, sporządzać sprawozdania finansowe i analizować sytuację firmy, dowiesz się jak obliczać i optymalizować zobowiązania podatkowe. Uzyskasz także niezwykle ważne w biznesie umiejętności miękkie. A gdy założysz swój biznes, będziesz wiedzieć jak zająć się jego finansami.
Wyróżniki:
połączenie nauki z praktyką gospodarczą, wyróżniająca ocena (najwyższa możliwa) przyznana przez Polską Komisję Akredytacyjną, możliwość zdobycia uznawanych na całym świecie kwalifikacji The Chartered Institute of Management Accountants (CIMA) oraz The Association of Chartered Certified Accountants (ACCA).
Wykłady na kierunku rachunkowość i finanse biznesu , na studiach niestacjonarnych, są prowadzone w formie zdalnej (z wyjątkiem pojedynczych godzin przeznaczonych na zaliczenie przedmiotu).
Zawody i perspektywy kariery:
praca w działach finansowo-księgowych przedsiębiorstw, w firmach audytorskich, w specjalistycznych firmach księgowych, prowadzenie własnych biur rachunkowych, główni księgowi, dyrektorzy finansowi i doradcy finansowi, a po spełnieniu dodatkowych wymaganych prawem warunków – biegli rewidenci i doradcy podatkowi.","Rachunkowość i finanse biznesu
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku rachunkowość i finanse biznesu są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika rachunkowości kandydat na studia pierwszego stopnia na kierunku rachunkowość i finanse biznesu może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE","Rachunkowość i finanse biznesu
Na kierunku oferowane są dwie specjalności:
finanse i rachunkowość przedsiębiorstw, rachunkowość w środowisku informatycznym.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Rachunkowość i finanse biznesu
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia niestacjonarne,Zarzadzanie,"Zarządzanie
Wybierz kierunek menedżerski i poznaj zasady funkcjonowania i zarządzania współczesnymi firmami! Naucz się osiągać rezultaty pozwalające na konkurowanie na wymagających rynkach!  Zdobądź umiejętności praktycznego wykorzystania narzędzi, metod i technik menedżerskich, a także analizy i diagnozy procesów zachodzących w organizacji i jej otoczeniu.
Mamy dla Ciebie kierunek pokazujący zastosowanie teorii w praktyce biznesowej i odpowiadający na potrzeby rynku pracy kształcąc profesjonalistów – specjalistów  o wysokich kompetencjach, kreatywnych i otwartych na współdziałanie.
Wyróżnik:
kierunek rozwija kompetencje niezbędne do podjęcia pracy zawodowej na stanowiskach specjalistycznych oraz kierowniczych, doradców w przedsiębiorstwach, instytucjach non-profit czy w administracji samorządowej i rządowej, a także do prowadzenia własnej działalności gospodarczej.
Zawody i perspektywy kariery:
przedsiębiorcy prowadzący własną działalność gospodarczą, HR business partnerzy, menedżerowie zarządzający wybraną dziedziną przedsiębiorstwa, project menedżerowie, project developerzy, specjaliści ds. marketingu w firmach produkcyjnych, handlowych i usługowych, analitycy ds. mediów, rzeczoznawcy majątkowi, specjaliści ds. zarządzania majątkiem trwałym i inwestycjami.","Zarządzanie
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku zarządzanie są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika administracji albo technika ekonomisty , albo technika rachunkowości kandydat na studia pierwszego stopnia na kierunku zarządzanie może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE","Zarządzanie
Wybierając studia na kierunku zarządzanie , który ma charakter biznesowy, student będzie miał możliwość poznania zasad funkcjonowania i zarządzania współczesnymi organizacjami w zakresie kilku specjalności:
handel i marketing , konsulting gospodarczy , zarządzanie inwestycjami i nieruchomościami , zarządzanie przedsiębiorstwami , zarządzanie projektami .
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Zarządzanie
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia niestacjonarne,Zarzadzanie I Inzynieria Produkcji,"Zarządzanie i inżynieria produkcji
Lubisz podejmować decyzje i organizować procesy tak, aby wszystko działało sprawnie i efektywnie? Na kierunku zarządzanie i inżynieria produkcji rozwiniesz swoje umiejętności menedżerskie i nabędziesz kluczowe kompetencje inżynierskie, które są przydatne także w świecie biznesu. Zdobywając poszukiwane w różnych branżach uniwersalne kwalifikacje, nauczysz się zarządzać procesami, stosując standardy jakości, wymogi bezpieczeństwa, z zachowaniem dbałości o środowisko a także będziesz potrafić przeprowadzać analizy zysków i strat podejmowanych działań.
Wyróżniki:
ścisła integracja wiedzy i umiejętności – duża liczba zajęć praktycznych rozwijających umiejętności menedżerskie oraz kwalifikacje inżynierskie powiązane z różnymi procesami wytwórczymi oraz usługowymi, zadaniowość i efektywność – orientacja na zdobywanie technicznych umiejętności, uczenie się “konstruktywnego działania” a także efektywnego zarządzania procesami i systemami z wykorzystaniem standardów i nowoczesnych rozwiązań organizacyjnych, współpraca z praktyką gospodarczą – realizacja zajęć przygotowanych we współpracy z biznesem, możliwość rozwijania zainteresowań i prowadzenia badań w kołach naukowych, pogłębiania kompetencji związanych ze zrównoważonym rozwojem i społeczną odpowiedzialnością biznesu.
Zawody i perspektywy kariery:
Kończąc studia na kierunku zarządzanie i inżynieria produkcji możesz zostać: specjalistą ds. zarządzania jakością, środowiskiem i bezpieczeństwem, koordynatorem produkcji, specjalistą ds. zarządzania i inżynierii produkcji.","Zarządzanie i inżynieria produkcji
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku zarządzanie i inżynieria produkcji są:
przedmiot nr 1 (do wyboru przez kandydata) – biologia albo chemia , albo fizyka, albo geografia, albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), albo matematyka, przedmiot nr 2 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika bezpieczeństwa i higieny pracy albo technika ekonomisty , albo technika logistyka, albo technika ochrony środowiska, albo technika procesów drukowania , albo technika technologii chemicznej, albo technika technologii żywności kandydat na studia pierwszego stopnia na kierunku zarządzanie i inżynieria produkcji może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE","Zarządzanie i inżynieria produkcji
Na kierunku zarządzanie i inżynieria produkcji nie są oferowane specjalności.","Zarządzanie i inżynieria produkcji
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w maju 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Analityka Danych Ekonomicznych,"Kierunek analityka danych ekonomicznych kładzie nacisk na rozwój kompetencji analitycznych (w odniesieniu do danych ilościowych i jakościowych), ich wykorzystanie do oceny polityk publicznych i przedsięwzięć biznesowych oraz na kształcenie umiejętności komunikowania wyników analiz.
Rozwijane w ramach kierunku kompetencje przydatne są we wszystkich zawodach, w których niezbędne są umiejętności analitycznego myślenia i stosowania metod badawczych – w marketingu, konsultingu, analizie biznesowej i doradztwie gospodarczym, publicystyce ekonomicznej.
Przykładowe stanowiska pracy związane z kierunkiem to:
analityk biznesowy, analityk mediów, specjalista ds. baz danych, specjalista ds. prezentacji wizualnej, konsultant Big Data, specjalista ds. badań rynkowych, pracownik naukowy, publicysta.","O przyjęcie na studia drugiego stopnia na kierunek analityka danych ekonomicznych mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek analityka danych ekonomicznych odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku analityka danych ekonomicznych nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Cyfrowe Lancuchy Dostaw,"Cyfrowe łańcuchy dostaw
Kierunek cyfrowe łańcuchy dostaw akcentuje obszary logistyki i łańcuchów dostaw, z uwzględnieniem aspektów nowoczesnego marketingu, gospodarki cyfrowej i zielonej transformacji.
Kształcenie w ramach kierunku obejmuje zagadnienia związane z analizą procesów logistycznych czy zarządzania w gospodarce cyfrowej. Część zajęć zaplanowano w laboratorium komputerowym, także z wykorzystaniem dedykowanego oprogramowania oraz z udziałem praktyków biznesu.
Absolwenci studiów uzyskują możliwość zatrudnienia na stanowiskach specjalistycznych, eksperckich i managerskich m.in.: – w działach logistycznych przedsiębiorstw – w komórkach i strukturach odpowiedzialnych za zarządzanie łańcuchami dostaw i sieciami logistycznymi – na innych, samodzielnych lub zarządczych stanowiskach związanych z logistyką, łańcuchami dostaw, narzędziami cyfrowymi w marketingu i e-commerce – w firmach konsultingowych obejmujących swoim działaniem w/w obszary
Nowe i zmodyfikowane kierunki na studiach stacjonarnych II stopnia na UEP!","Cyfrowe łańcuchy dostaw
O przyjęcie na studia drugiego stopnia na kierunek cyfrowe łańcuchy dostaw mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, studiów jednolitych magisterskich lub równorzędnych z dziedziny nauk ścisłych i przyrodniczych, nauk inżynieryjno-technicznych oraz z dziedziny nauk społecznych w dyscyplinach ekonomia i finanse, nauki o zarządzaniu i jakości, nauki o bezpieczeństwie oraz geografia społeczno-ekonomiczna i gospodarka przestrzenna.
Przyjęcie kandydatów na kierunek cyfrowe łańcuchy dostaw odbywa się w kolejności według największej liczby punktów uzyskanych w postępowaniu rekrutacyjnym, liczonych według wzoru:
60% średnia ocen + 40% punkty z testu
gdzie: średnia ocen – oznacza średnią ocen z ukończonych studiów uprawniających do ubiegania się o przyjęcie na kierunek cyfrowe łańcuchy dostaw , punkty z testu – oznaczają punkty z testu kwalifikacyjnego, weryfikującego ogólną wiedzę z zakresu logistyki i gospodarki cyfrowej.
Uzyskany wynik zaokrąglany jest do dwóch miejsc po przecinku.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Cyfrowe łańcuchy dostaw
Na kierunku cyfrowe łańcuchy dostaw nie są oferowane specjalności.","Cyfrowe łańcuchy dostaw
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Design I Komercjalizacja Produktu,"Studia magisterskie na kierunku design i komercjalizacja produktu zapewniają solidne podstawy do rozwoju kreatywności i umiejętności skutecznej implementacji wypracowanych pomysłów. W toku zróżnicowanych zajęć studenci nabywają kompetencje umożliwiające efektywną i twórczą pracę oraz rozwijanie idei nowych produktów żywnościowych oraz nieżywnościowych w oparciu o niezbędną wiedzę technologiczną, rynkową i organizacyjną. Studia są bardzo dobrym uzupełnieniem wcześniejszego etapu kształcenia w zakresie nauk o jakości, ale także interesującą ofertą dydaktyczną poszerzającą kompetencje absolwentów innych kierunków studiów.
Studenci mają możliwość opanowania umiejętności kreowania wartości użytkowej, estetycznej i marketingowej nowych produktów, budowania i implementacji strategii produktu/marki, rozwoju innowacji i efektywnego wykorzystywania dostępnych zasobów. Program studiów odnosi się również do kwestii zarządzania i oceny jakości produktów, opanowania standardowych i innowacyjnych metod badań, które pozwolą ocenić zarówno produkty żywnościowe, jak i nieżywnościowe.","O przyjęcie na studia drugiego stopnia na kierunek design i komercjalizacja produktu mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek design i komercjalizacja produktu odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku design i komercjalizacja produktu nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Ekonomia,"Studia drugiego stopnia na kierunku ekonomia oferują pogłębienie wiedzy z zakresu ekonomii i finansów oraz nauk o zarządzaniu i jakości.
Absolwent kierunku uzyskuje nowoczesną wiedzę z zakresu ekonomii i analizy danych i potrafi ją zastosować w praktyce gospodarczej. Jest to osoba rozumiejąca przyczyny zmian zachodzących w otoczeniu w poszczególnych podmiotów ekonomicznych i potrafiąca przewidywać ich konsekwencje.
Absolwent kierunku ekonomia jest profesjonalnie przygotowany do budowy scenariuszy zmian sytuacji ekonomicznej oraz analizy uwarunkowań i ograniczeń wpływających na możliwość dokonywania właściwych wyborów na różnych szczeblach decyzyjnych, zarówno w sektorze prywatnym, jak i publicznym.","O przyjęcie na studia drugiego stopnia na kierunek ekonomia mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek ekonomia odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku ekonomia nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Finanse Audyt Inwestycje,"Finanse, audyt, inwestycje
Finanse, audyt, inwestycje jest nowoczesnym i unikalnym kierunkiem studiów, przygotowanym dla studentów zainteresowanych specjalistyczną wiedzą oraz zgłębieniem tajników: analizy finansowej, bankowości komercyjnej i centralnej, systemów walutowych, ubezpieczeń, instytucji należących do sektora pośrednictwa finansowego, podatków i finansów publicznych, rachunkowości, audytu, kontroli finansowej, rynków, inwestycji i instrumentów finansowych oraz planowaniem i zarządzaniem finansami osobistymi i finansami gospodarstwa domowego.
Absolwenci kierunku to pracownicy instytucji finansowych (banków, zakładów ubezpieczeń funduszów inwestycyjnych i in.), aktywni uczestnicy rynków finansowych, maklerzy, biegli rewidenci, pracownicy działów finansowych spółek, doradcy podatkowi i finansowi czy analitycy rynków finansowych. Mogą oni także znaleźć zatrudnienie w jednostkach sektora finansów publicznych oraz instytucjach systemowych sektora bankowego i  finansowego.","Finanse, audyt, inwestycje
O przyjęcie na studia drugiego stopnia na kierunek finanse, audyt, inwestycje mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek finanse, audyt, inwestycje odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Finanse, audyt, inwestycje
Na kierunku oferowane są cztery specjalności:
bankowość i ubezpieczenia, finanse, audyt i podatki, inwestycje i rynki finansowe, kontrola finansowa i rachunkowość.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Finanse, audyt, inwestycje
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Informatyka I Ekonometria,"Studia drugiego stopnia na kierunku informatyka i ekonometria łączą kształcenie w zakresie ekonomii, finansów i biznesu z kompetencjami z obszaru nowoczesnych technologii i informatyki.
Na studiach drugiego stopnia studenci pogłębiają wiedzę w obszarze ekonomii, finansów i technologii informatycznych. Doskonalą umiejętności analizy danych, modelowania i prognozowania, programowania i obsługi systemów informatycznych oraz pakietów statystycznych. Zgłębiają tajniki inwestowania i zarządzania ryzykiem. Poznają zaawansowane technologie baz danych, problematykę sztucznej inteligencji, w tym uczenie maszynowe oraz ogólnie rozumianą Data science.
Absolwent kierunku po studiach drugiego stopnia może pracować jako:
analityk procesów gospodarczych znajdujący zatrudnienie wszędzie tam, gdzie podejmowanie decyzji ekonomicznych trzeba poprzedzić wnikliwymi analizami ilościowymi z wykorzystaniem technologii informatycznych; menedżer–informatyk, który będzie zdolny do twórczego i efektywnego funkcjonowania w gospodarce 4.0 na skalę międzynarodową; specjalista z zakresu rozwiązań informatycznych, odnajdujący się jako lider zespołów projektowych, broker informacyjny, projektant rozwiązań informatycznych dla biznesu, projektant serwisów internetowych i usług sieciowych, specjalista ds. audytu informatycznego; specjalista analityk wykorzystujący w pracy wiedzę i umiejętności związane z modelowaniem i prognozowaniem wielkości ekonomicznych i finansowych oraz wyceną instrumentów finansowych ( quant ).","O przyjęcie na studia drugiego stopnia na kierunek informatyka i ekonometria mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek informatyka i ekonometria odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Studenci profilują swoją ścieżkę studiów wybierając jedną z trzech specjalności:
analityka gospodarcza, informatyka w gospodarce i administracji, inżynieria finansowa .
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Innovation Management,"Zarządzanie innowacjami to obszar w ramach dyscypliny nauki o zarządzaniu i jakości, które na przestrzeni lat rozwijało się bardzo dynamicznie. Zagadnienia innowacyjności gospodarki stały się integralną częścią działalności biznesowej i wyrażają się nie tylko w poszukiwaniu innowacyjnych produktów, nowych modeli biznesowych, ale także w stale rosnących budżetach na B+R.
Jeśli szukasz odpowiedzi na pytania takie jak:
Co użytkownicy myślą o Twojej witrynie? Jakie narzędzia internetowe są najlepsze dla rozwoju Twojej firmy? Jak monitorować swoją strategię internetową? Jak efektywnie zaaranżować powierzchnię handlową w Twoim sklepie? Jak wprowadzać nowe produkty oparte na technologiach internetowych?
Nie szukaj więcej! Znajdziesz je właśnie na kierunku Innovation Management!","O przyjęcie na anglojęzyczne studia drugiego stopnia na kierunek Innovation Management mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek Innovation Management odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Rekrutacja na rok akademicki 2025/2026 zostanie uruchomiona w kwietniu 2025 roku.
Rekrutacja na studia prowadzone w języku angielskim – dowiedz się więcej .
ZAPISY ONLINE",Na kierunku Innovation Management nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Kierunek Prawno Ekonomiczny,"Kierunek prawno-ekonomiczny
Studia drugiego stopnia na kierunku prawno-ekonomicznym są prowadzone wspólnie przez Uniwersytet Ekonomiczny w Poznaniu i Uniwersytet im. Adama Mickiewicza w Poznaniu. Na kierunku realizowany jest unikatowy program kształcenia w zakresie prawa i ekonomii.
Absolwenci uzyskują teoretyczną i praktyczną wiedzę dotyczącą prawnych i ekonomicznych aspektów prowadzenia działalności gospodarczej i funkcjonowania organizacji i instytucji. W toku studiów przekazywana jest wiedza na temat aktualnych rozwiązań prawnych, jak i narzędzi biznesowych, które umożliwiają określnie skutecznych strategii rozwoju podmiotów rynkowych. Studia na kierunku prawno-ekonomicznym są adresowane do tych absolwentów studiów w zakresie ekonomii, zarządzania, finansów, którzy chcą uzupełnić swoją wiedzę o zagadnienia prawnych uwarunkowań działalności gospodarczej.","Kierunek prawno-ekonomiczny
Rekrutacja na studia drugiego stopnia na kierunek prawno-ekonomiczny jest prowadzona wyłącznie przez Uniwersytet im. Adama Mickiewicza w Poznaniu.
Dowiedz się więcej","Kierunek prawno-ekonomiczny
Na kierunku prawno-ekonomicznym nie są oferowane specjalności.","Kierunek prawno-ekonomiczny
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Marketing,"Kierunek marketing jest idealny dla osób: ambitnych, przedsiębiorczych, kreatywnych, pozytywnie nastawionych, otwartych na kontakty z innymi ludźmi, ciekawych nowych doświadczeń, pragnących zmieniać świat na lepszy.
Studia na kierunku marketing przygotowują do pracy na stanowisku menedżera, odpowiedzialnego za działalność marketingową w wymiarze strategicznym, a także związaną z tym sprzedaż dóbr lub usług. Absolwenci tego kierunku nabędą wiedzę, umiejętności i kompetencje pozwalające im na samodzielne podejmowanie decyzji w zmiennym otoczeniu rynkowym, z wykorzystaniem nowych technologii oraz mediów cyfrowych. Nauczą się tworzyć strategie oparte na nowoczesnych modelach biznesowych z wykorzystaniem marketingu cyfrowego. Opanują umiejętność rozpoznawania trendów rynkowych i wyszukiwania szans dla dalszego rozwoju organizacji, zarówno tych komercyjnych jak i niekomercyjnych.
Nowe i zmodyfikowane kierunki na studiach stacjonarnych II stopnia na UEP!","O przyjęcie na studia drugiego stopnia na kierunek marketing mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek marketing odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku marketing nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
